ï»¿UPM,NVIVI,NHOGA,AÃO,DPTO,area,L02,edad,P03,P04,P04A,P04B,P05C,P05P,P05M,sexo,P08D,P08M,P08A,P09,ocupado,A01A,A02,A03,A04,A04B,A04A,A05,A07,A08,A10,A11A,A11M,A11S,A12,A13REC,A14REC,A15,A16,A17A,A17M,A17S,A18,B01REC,B02REC,B03LU,B03MA,B03MI,B03JU,B03VI,B03SA,B03DO,B04,B05,B06,B07A,B07M,B07S,B08,B09A,B09M,B09S,B10,B11,B12,B12A,B12B,B12C,B13,B14,B15,B16G,B16U,B16D,B16T,B17,B18AG,B18AU,B18BG,B18BU,B19,B20G,B20U,B20D,B20T,B21,B22,B23,B24,B25,B26,B271,B272,B28,B29,B30,B31,C01REC,C02REC,C03,C04,C05,C06,C07,C08,C09,C101,C102,C11G,C11U,C11D,C11T,C12,C13AG,C13AU,C13BG,C13BU,C14,C14A,C14B,C14C,C15,C16REC,C17REC,C18,C18A,C18B,C19,D01,D02,D03,D04,D05,E01A,E01B,E01C,E01D,E01E,E01F,E01G,E01H,E01I,E01J,E01K,E01L,E01M,ED01,ED02,ED03,ED0504,ED06C,ED08,ED09,ED10,ED11F1,ED11F1A,ED11GH1,ED11GH1A,S01A,S01B,S02,S03,S03A,S03B,S03C,S04,S05,S06,S07,S08,S09,CATE_PEA,TAMA_PEA,OCUP_PEA,RAMA_PEA,HORAB,HORABC,HORABCO,PEAD,PEAA,TIPOHOGA,FACTOR,NJEF,NCON,NPAD,NMAD,anios_estudio,ra06ya09,ingreso_principal,e01bimde,e01cimde,e01dde,e01ede,e01fde,e01gde,e01hde,e01ide,e01jde,e01kde,e01lde,e01mde,e01kjde,e02bde,ingrevasode,ingrealmuerzode,ipcm,pobrezai,pobnopoi,quintili,decili,quintiai,decilai,informalidad,sexo_lbl,area_lbl
30,18,1,2025,0,1,1,36,1,1,1, ,0,0,0,6,8,4,1989,3,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,5,5,8,8,8,8,8,8,8,1, , ,3,0,0,2,3,0,0,6, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,6, ,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,1, ,11,13000000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2405,1,16,2, , , , , ,7, , ,1,4, , ,1, ,1,3,1,6,3,2,5,5,56,56,56,1,1,3,95,2405,8888, , ,17, ,12981281.497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8698348,88852805",3,0,5,10,5,10,1,Mujer,Urbana
30,32,1,2025,0,1,1,27,1,1,1, ,0,0,0,6,3,7,1998,3,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,9,5,0,8,8,8,8,9,8,1, , ,0,0,2,2,0,0,2,6, ,2,6, , ,88,1,4,120000,2,24,2880000,6, , , , ,1,15000,2,24,360000,6, , ,6, ,4, , ,1,1,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,1, ,11,3240000,0,0,0,0,0,500000,0,0,0,0,0,0,3,1,1,1003, ,19, ,14, , , , ,7, , ,1,1, , ,6,5, , , , ,2,2,9,5,49,49,49,1,1,3,60,1003,8888, , ,12, ,3235334.773,0,0,0,0,0,"499280,057",0,0,0,0,0,0,0,0,0,0,"1664055,64098872",3,0,3,5,3,5,1,Mujer,Urbana
30,42,1,2025,0,1,2,42,2,1,1, ,1,0,0,1,21,2,1983,1,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,9,8,0,8,8,8,8,8,0,3,12,48,22,0,0,8,22,0,0,1,1,2,6, , ,30,1,4,3500000,5, ,3500000,6, , , , ,6, , , , ,6, , ,6, ,1, , ,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,3500000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,605, ,19, ,1, , , , ,1, ,1,3, , , , , , , , , ,2,8,9,8,48,48,48,1,1,2,80,2401, , , ,11, ,3494960.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1496017,49268059",3,0,3,5,2,4,2,Hombre,Urbana
30,48,1,2025,0,1,1,20,1,1,1, ,0,0,0,6,28,2,2005,5,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,9,7,7,7,7,7,7,7,7,1, , ,0,5,0,7,0,5,0,1,1,2,6, , ,88,88,4,1800000,5, ,1800000,6, , , , ,6, , , , ,6, , ,1,150000,1, , ,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,1800000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,903, ,19, ,3, , , , ,1, ,1,1,1, , ,1, ,1,1,1,6,2,7,9,7,49,49,49,1,1,4,76,903,8888, , ,12, ,1797408.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1298128,14974802",3,0,2,4,2,3,2,Mujer,Urbana
30,49,1,2025,0,1,2,55,3,1,1, ,0,0,1,1,4,5,1970,5,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,9,8,12,12,12,12,12,12,12,1, , ,16,0,0,1,16,0,0,6, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,6, ,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,2,6,11,2000000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,306, , , , , , , , ,7, , ,3, , , , , , , , , ,4,1,9,8,84,84,84,1,1,3,67,304, , , ,6, ,1997120.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1347844,9600432",3,0,2,4,2,3,1,Hombre,Urbana
44,1,1,2025,0,1,2,43,3,1,1, ,0,0,1,1,3,6,1982,5,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,4,5,8,8,8,8,8,0,0,1, , ,0,8,0,7,5,0,0,1,1,2,6, , ,12,2,4,2546461,5, ,2546461,6, , , , ,6, , , , ,6, , ,6, ,3, , ,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,2546461,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,605, ,19, ,2, , , , ,1, ,1,3, , , , , , , , , ,2,7,4,5,40,40,40,1,1,3,114,302, , , ,11, ,2537314.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1617189,19037356",3,0,3,5,3,5,2,Hombre,Urbana
44,2,1,2025,0,1,1,26,1,1,1, ,0,0,0,1,13,9,1998,5,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,8,2,8,8,8,8,8,0,0,1, , ,1,2,0,4,1,2,0,6, ,2,6, , ,12,2,4,3200000,5, ,3200000,6, , , , ,6, , , , ,6, , ,1,500000,3, , ,1,1,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,15,1, ,1,3200000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2404,14,19, ,2, , , , ,7, , ,3, , , , , , , , , ,2,4,8,2,40,40,40,1,1,1,110,2404,8888, , ,16, ,3188505.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3188505,74712643",3,0,5,9,4,8,1,Hombre,Urbana
44,9,1,2025,0,1,1,57,1,1,1, ,0,0,0,6,12,6,1968,3,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,3,8,0,0,0,0,0,12,12,1, , ,42,0,0,9,42,0,0,1,2,1,6, , ,30,5,1,3276000,5, ,3276000,6, , , , ,1,160000,5, ,160000,6, , ,6, ,1, , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,40,3,6,11,3436000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2002,7, , , , , , , ,7, , ,3, , , , , , , , , ,1,9,3,8,24,24,24,4,1,4,120,2002,8888, , ,14, ,3423658.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1429887,49425287",3,0,2,4,2,4,2,Mujer,Urbana
44,11,1,2025,0,1,3,69,1,1,1, ,4,0,0,1,28,2,1956,2,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,5,8,12,12,0,12,12,12,12,1, , ,29,0,0,9,29,0,0,1,4,1,6, , ,30,1,3,4000000,5, ,4000000,1,6000000,5,0, ,6, , , , ,6, , ,6, ,1, , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,20,6, , ,10000000,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2405,10, , , , , , , ,7, , ,3, , , , , , , , , ,1,9,5,8,72,72,72,1,1,4,91,2405,409, , ,17, ,9964080.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1991637,38793103",3,0,3,6,3,6,2,Hombre,Urbana
44,12,1,2025,0,1,1,71,1,1,1, ,2,0,0,1,8,5,1954,1,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,3,6,10,10,10,10,10,0,0,1, , ,46,0,0,2,40,0,0,6, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,1,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,3,6,1,3500000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,606, , , , , , , , ,7, , ,1,6,6, ,1, ,1,9,6,6,3,2,3,6,50,50,50,1,1,2,72,606,606, , ,12, ,3487428.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2856369,73180076",3,0,4,8,4,8,2,Hombre,Urbana
